-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| ind                                                                       | type                                                                    | class                                                           |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Title>                | owl:DatatypeProperty                                                    |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#attendsAt>            | owl:ObjectProperty                                                      |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#broadcasts>           | owl:ObjectProperty                                                      |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#decides>              | owl:ObjectProperty                                                      |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#has>                  | owl:ObjectProperty                                                      |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#outputs>              | owl:ObjectProperty                                                      |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#produces>             | owl:ObjectProperty                                                      |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#worksAt>              | owl:ObjectProperty                                                      |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#worksIn>              | owl:ObjectProperty                                                      |                                                                 |
| :Arastirma                                                                | <http://www.semanticweb.org/tp11501203/owl/ontology#Research>           | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Bankacilik                                                               | <http://www.semanticweb.org/tp11501203/owl/ontology#Banking>            | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Bilisim                                                                  | <http://www.semanticweb.org/tp11501203/owl/ontology#IT>                 | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :DenetlemeKomitesi                                                        | <http://www.semanticweb.org/tp11501203/owl/ontology#AuditComminity>     | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :GenelKurul                                                               | <http://www.semanticweb.org/tp11501203/owl/ontology#GeneralAssembly>    | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Hukuk                                                                    | <http://www.semanticweb.org/tp11501203/owl/ontology#Legal>              | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Iletisim                                                                 | <http://www.semanticweb.org/tp11501203/owl/ontology#Comminication>      | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :InsanKaynaklari                                                          | <http://www.semanticweb.org/tp11501203/owl/ontology#HumanResources>     | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Istatistik                                                               | <http://www.semanticweb.org/tp11501203/owl/ontology#Statistics>         | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Lojistik                                                                 | <http://www.semanticweb.org/tp11501203/owl/ontology#Logistic>           | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Muhasebe                                                                 | <http://www.semanticweb.org/tp11501203/owl/ontology#Accounting>         | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :OdemeSistemleri                                                          | <http://www.semanticweb.org/tp11501203/owl/ontology#PaymentSystems>     | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :ParaPolitikasiKurulu                                                     | <http://www.semanticweb.org/tp11501203/owl/ontology#MPC>                | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :Subeler                                                                  | <http://www.semanticweb.org/tp11501203/owl/ontology#Branches>           | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :UstKurul                                                                 | <http://www.semanticweb.org/tp11501203/owl/ontology#Board>              | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
| :YonetimKomitesi                                                          | <http://www.semanticweb.org/tp11501203/owl/ontology#ExecutiveComminity> | <http://www.semanticweb.org/tp11501203/owl/ontology#Department> |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
